date,open,high,low,close
2019-08-16 00:00:00,188.05,188.05,187.8,187.8
2019-08-16 00:03:00,187.75,187.8,187.75,187.75
2019-08-16 00:06:00,187.8,187.8,187.0,187.0
2019-08-16 00:09:00,187.0,187.5,186.95,187.35
2019-08-16 00:12:00,187.3,187.55,187.25,187.25
2019-08-16 00:15:00,187.3,187.55,187.3,187.55
2019-08-16 00:18:00,187.55,187.55,187.35,187.35
2019-08-16 00:21:00,187.35,187.5,187.35,187.5
2019-08-16 00:24:00,187.55,187.65,187.55,187.65
2019-08-16 00:27:00,187.6,187.7,187.5,187.55
2019-08-16 00:30:00,187.55,187.8,187.5,187.55
2019-08-16 00:33:00,187.5,187.65,187.3,187.5
2019-08-16 00:36:00,187.5,187.5,187.15,187.25
2019-08-16 00:39:00,187.2,187.2,187.2,187.2
2019-08-16 00:42:00,187.2,187.2,187.05,187.1
2019-08-16 00:45:00,187.05,187.75,187.05,187.75
2019-08-16 00:48:00,187.75,187.75,187.5,187.5
2019-08-16 00:51:00,187.55,187.55,187.2,187.2
2019-08-16 00:54:00,187.15,187.15,186.65,186.75
2019-08-16 00:57:00,186.7,186.9,186.5,186.5
2019-08-16 01:00:00,186.5,186.95,186.5,186.95
2019-08-16 01:03:00,186.95,186.95,186.85,186.9
2019-08-16 01:06:00,186.85,187.2,186.75,187.15
2019-08-16 01:09:00,187.2,187.2,187.15,187.2
2019-08-16 01:12:00,187.2,187.8,187.2,187.6
2019-08-16 01:15:00,187.6,187.95,187.4,187.95
2019-08-16 01:18:00,188.0,188.15,187.85,188.05
2019-08-16 01:21:00,188.05,188.1,187.95,187.95
2019-08-16 01:24:00,187.95,187.95,187.9,187.95
2019-08-16 01:27:00,187.9,187.95,187.65,187.7
2019-08-16 01:30:00,187.7,187.7,187.65,187.65
2019-08-16 01:33:00,187.65,187.7,187.6,187.6
2019-08-16 01:36:00,187.65,187.65,187.6,187.65
2019-08-16 01:39:00,187.65,187.8,187.65,187.8
2019-08-16 01:42:00,187.85,187.85,187.8,187.85
2019-08-16 01:45:00,187.8,187.8,187.6,187.6
2019-08-16 01:48:00,187.6,187.65,187.6,187.6
2019-08-16 01:51:00,187.55,187.6,187.5,187.55
2019-08-16 01:54:00,187.55,187.55,187.35,187.4
2019-08-16 01:57:00,187.4,187.4,187.3,187.3
